"HS","TRADE_TYPE","PARTNER_CODE","DESCRIPTION","2015_q1","2015_q2","2015_q3","2015_q4","2016_q1","2016_q2","2016_q3","2016_q4"
"85","X","AM","ELECTRICAL MACHINERY & EQUIP. & PARTS, TELECOMMUNICATIONS EQUIP., SOUND RECORDERS, TELEVISION RECORDERS","9150591","7273693","8960238","5726892","0","0","0","0"
"94","X","AM","FURNITURE, BEDDING, CUSHIONS, LAMPS & LIGHTING FITTINGS NESOI, ILLUMINATED SIGNS, NAMEPLATES & THE LIKE, PREFABRICATED BUILDINGS","932967","975774","945557","917510","0","0","0","0"
"38","X","AM","MISCELLANEOUS CHEMICAL PRODUCTS","175705","54905","86412","106230","0","0","0","0"
"48","X","AM","PAPER & PAPERBOARD, ARTICLES OF PAPER PULP","3910401","2969451","3669776","4489268","0","0","0","0"
"19","X","AM","PREPS. OF CEREALS, FLOUR, STARCH OR MILK","985358","1726204","1665502","1581164","0","0","0","0"
"32","X","AM","TANNING OR DYEING EXTRACTS, DYES, PIGMENTS, PAINTS & VARNISHES, PUTTY, & INKS","4088368","2539129","3487896","4160034","0","0","0","0"
"24","X","AM","TOBACCO & MANUF. TOBACCO SUBSTITUTES","34860534","22994911","27739441","21210406","0","0","0","0"
"","","","","","","","","","","",""
"HS","TRADE_TYPE","PARTNER_CODE","DESCRIPTION","2015_q1","2015_q2","2015_q3","2015_q4","2016_q1","2016_q2","2016_q3","2016_q4"
"21","M","YY","MISC. EDIBLE PREPARATIONS","665532","219127","184103","1137711","0","0","0","0"
"71","M","AM","PEARLS, STONES, PREC. METALS, IMITATION JEWELRY, COINS","3856327","3647673","3892684","6316135","0","0","0","176013"
"39","M","YY","PLASTICS & ARTICLES THEREOF","120567","64730","156766","223146","0","0","0","0"
"20","M","AM","PREPS OF VEGS, FRUITS, NUTS, ETC.","30192178","42380259","31793789","24155390","0","0","0","0"
"23","M","AM","RESIDUES FROM FOOD INDUSTRIES, ANIMAL FEED","606817","685310","667818","790258","0","0","0","0"
"73","M","YY","RTICLES OF IRON OR STEEL","278206","205164","295573","41030","0","0","0","0"
"40","M","YY","RUBBERS & ARTICLES THEREOF","29914","86408","5104","35918","0","0","0","0"
