"MONTH","YEAR","TRADE_TYPE","HS","PARTNER_CODE","VALUE","WEIGHT","UNIT_OF_MEASURE","QUANTITY"
"10","2015","M","989802","AM","18230","424","KGM","424"
"12","2015","M","989802","AM","18584","203","KGM","203"
"5","2015","M","989802","AM","21452","642","KGM","642"
"5","2015","X","989803","AM","6067","483","KGM","483"
"11","2015","X","989802","AM","366","143","KGM","143"
"8","2015","X","989803","AM","774","147","KGM","147"
"11","2015","X","989802","AM","8084","98","KGM","98"
"3","2015","X","989802","AM","1568","205","KGM","205"
"7","2015","X","989802","AM","15985","420","KGM","420"
"10","2015","X","989803","AM","50219","2010","KGM","2010"
"7","2015","M","989802","YY","10159","1778","KGM","1778"
"8","2015","M","989802","YY","3390","599","KGM","599"
"3","2015","M","989803","YY","14342","1493","KGM","1493"
"4","2015","M","989802","YY","8282","1818","KGM","1818"
"12","2015","M","989802","YY","35118","1626","KGM","1626"
"11","2015","M","989803","YY","100319","4605","KGM","4605"
"7","2015","M","989803","YY","60617","2277","KGM","2277"
